video_title,video,views,comments,likes,dislikes,estimatedMinutesWatched,subscribersGained,subscribersLost
How I Shoot and Edit B ROLL? Tutorial!,908eN1j8gl8,339,0,-1,0,929,2,0
My Rs. 10 Lakh Vlogging Setup! (How did I afford it?),xKuh2wl0OVg,2003,0,-29,-3,5241,8,0
15 PHOTOGRAPHY TIPS that will Definitely HELP You!,L33B2UauzaI,585,1,-15,0,1108,2,0
SHOOT High Quality Images with any CAMERA!,lxa1jjVxLRU,1540,1,-3,0,3294,13,0
Landscape Photography for Beginners!,zfkaV5SSLZo,4358,2,114,2,16945,80,3
Exploring Himachal with Friends | Travel Vlog!,1WSstSrReZQ,2275,0,17,0,3291,4,0
How to make PROFESSIONAL VIDEOS with any CAMERA?,yKwZ9TqSa1g,2466,2,67,-1,8624,37,1
Best BUDGET Mic? JBL CSLM20 Lav!,rLAcihxzKFc,4438,1,65,4,7457,21,0
How I Edit my TRAVEL Photos - Start to Finish!,IEgq7Ch3u2g,1172,0,2,0,2209,9,0
6 iPhone PHOTOGRAPHY TIPS &amp; TRICKS!,ZAkRV4lz8sI,307066,25,4790,100,773885,1857,38
MY NEW YEAR RESOLUTION,4uusV-1pI_8,159,0,-22,0,175,0,0
iPhone 12 Pro Max CAMERA Review! Is it THE BEST?,b4xVdtfEDQE,14876,3,121,-8,27747,57,1
Insta360 One R 1-Inch Edition | My FAVORITE Action Camera!,a55-G2Fu5-A,506,0,-13,1,937,0,0
Panasonic Lumix S5: Superb Mirrorless Camera!,-t0C-5hyTmM,288,0,-11,-2,614,2,0
PREMIERE PRO Tutorial every Beginner should watch!,SNGagKXsB5U,4235,4,47,4,11093,56,1
My OFFICIAL MERCHANDISE is here!,kC_RwiMB9o4,116,0,-14,0,92,1,0
What LENS should YOU buy NEXT?,3FrVHFRMlYg,427,0,-6,0,1731,1,0
Focus Stacking Explained! WHY and HOW to use it?,QDl7HGxPXaQ,10656,4,380,6,30763,116,0
